"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1730","Signin with locked out user","chromium","Mon Nov 25 14:45:22 IST 2024","passed","Mon Nov 25 14:45:24 IST 2024","","signInFunctionality.spec.js","",""
"","1719","Signin with standard user","chromium","Mon Nov 25 14:45:22 IST 2024","passed","Mon Nov 25 14:45:24 IST 2024","","signInFunctionality.spec.js","",""
